,Date_time,Open,High,Low,Close,Zones,Prox,Dist,SZ_Prox,SZ_Dist,DZ_Prox,DZ_Dist
0,08/04/21 15:25,14879.7,14881.7,14873.95,14877.5,,,,14944.2,14961.8,14808.85,14804.55
1,08/04/21 15:20,14879.5,14884.8,14872.15,14879.25,,,,14944.2,14961.8,14808.85,14804.55
2,08/04/21 15:15,14866.5,14884.4,14865.85,14879.95,SZ,14872.65,14896.25,14944.2,14961.8,14808.85,14804.55
3,08/04/21 15:10,14879.4,14880.65,14864.9,14866.65,,,,14944.2,14961.8,14808.85,14804.55
4,08/04/21 15:05,14872.65,14896.25,14871.75,14879.3,,,,14944.2,14961.8,14808.85,14804.55
5,08/04/21 15:00,14840.2,14876.9,14821.1,14872.6,,,,14944.2,14961.8,14808.85,14804.55
6,08/04/21 14:55,14878.1,14879.75,14841.55,14841.9,,,,14944.2,14961.8,14808.85,14804.55
7,08/04/21 14:50,14879.8,14883.95,14870.15,14878.8,,,,14944.2,14961.8,14808.85,14804.55
8,08/04/21 14:45,14890.1,14890.1,14868.7,14879.7,,,,14944.2,14961.8,14808.85,14804.55
9,08/04/21 14:40,14888.45,14897.55,14881.9,14892.4,,,,14944.2,14961.8,14808.85,14804.55
10,08/04/21 14:35,14880.85,14888.25,14853.5,14888.25,,,,14944.2,14961.8,14808.85,14804.55
11,08/04/21 14:30,14919.3,14919.3,14872.45,14882.45,,,,14944.2,14961.8,14808.85,14804.55
12,08/04/21 14:25,14940.7,14942.75,14920.25,14920.25,,,,14944.2,14961.8,14808.85,14804.55
13,08/04/21 14:20,14924.55,14942.85,14923.2,14941.45,SZ,14944.2,14961.8,14958.15,14967.65,14808.85,14804.55
14,08/04/21 14:15,14945.5,14946.35,14922.45,14925.3,,,,14958.15,14967.65,14808.85,14804.55
15,08/04/21 14:10,14944.8,14951.85,14940.95,14946.2,,,,14958.15,14967.65,14808.85,14804.55
16,08/04/21 14:05,14950.35,14950.6,14934.0,14944.2,,,,14958.15,14967.65,14808.85,14804.55
17,08/04/21 14:00,14948.45,14961.8,14946.05,14950.45,SZ,14958.15,14967.65,0.0,0.0,14808.85,14804.55
18,08/04/21 13:55,14957.7,14961.4,14946.7,14947.65,,,,0.0,0.0,14808.85,14804.55
19,08/04/21 13:50,14962.9,14967.65,14950.25,14958.15,,,,0.0,0.0,14808.85,14804.55
20,08/04/21 13:45,14973.9,14974.6,14961.9,14963.0,,,,0.0,0.0,14808.85,14804.55
21,08/04/21 13:40,14981.25,14984.15,14970.95,14973.65,DZ,14964.75,14951.35,0.0,0.0,14808.85,14804.55
22,08/04/21 13:35,14964.8,14982.65,14962.0,14980.8,,,,0.0,0.0,14808.85,14804.55
23,08/04/21 13:30,14957.0,14969.65,14951.35,14964.75,,,,0.0,0.0,14808.85,14804.55
24,08/04/21 13:25,14962.5,14968.9,14954.95,14956.8,,,,0.0,0.0,14808.85,14804.55
25,08/04/21 13:20,14952.05,14963.8,14946.2,14962.75,,,,0.0,0.0,14808.85,14804.55
26,08/04/21 13:15,14932.2,14953.6,14931.25,14951.95,,,,0.0,0.0,14808.85,14804.55
27,08/04/21 13:10,14927.25,14932.85,14918.4,14932.6,,,,0.0,0.0,14808.85,14804.55
28,08/04/21 13:05,14933.65,14940.9,14921.7,14927.3,,,,0.0,0.0,14808.85,14804.55
29,08/04/21 13:00,14934.0,14936.0,14928.0,14933.45,,,,0.0,0.0,14808.85,14804.55
30,08/04/21 12:55,14935.6,14941.6,14930.5,14934.45,,,,0.0,0.0,14808.85,14804.55
31,08/04/21 12:50,14940.1,14941.15,14931.45,14935.65,,,,0.0,0.0,14808.85,14804.55
32,08/04/21 12:45,14943.0,14951.75,14939.95,14940.5,,,,0.0,0.0,14808.85,14804.55
